t_s,hb
14.665,0.016008
14.676666,-0.005828
14.688334,-0.029186
14.7,-0.027088
14.711666,0.02639
14.723333,-0.020929
14.735,0.012305
14.746667,-0.003677
14.758333,-0.014136
14.77,-0.002565
14.781667,0.001228
14.793333,-0.001431
14.804999,-0.001304
14.816667,0.000507
14.828333,-0.000369
14.84,0.004377
14.851666,-0.003068
14.863333,0.003774
14.875,-0.001166
14.886666,7.3e-05
14.898334,0.009449
14.91,0.00162
14.921666,-0.003466
14.933333,0.002893
14.945,-0.003095
14.956667,0.00057
14.968333,0.005298
14.98,0.006804
14.991667,-0.006481
15.003333,0.006183
15.014999,-0.001724
15.026667,-0.00383
15.038333,0.032462
15.05,0.008556
15.061666,-0.0105
15.073333,0.009525
15.085,-0.004681
15.096666,-0.000355
15.108334,0.01644
15.12,0.002137
15.131666,-0.003202
15.143333,0.002821
15.155,-0.002888
15.166666,0.003925
15.178333,-0.011142
15.19,-0.001893
15.201667,0.00347
15.213333,-0.00328
15.224999,0.002185
15.236667,0.000915
15.248333,-0.014168
15.26,-0.009116
15.271667,0.008224
15.283333,-0.006964
15.295,-0.001307
15.306666,0.010068
15.318333,-0.052721
15.33,-0.003715
15.341666,0.008215
15.353333,-0.006609
15.365,0.007664
15.376666,-0.010498
15.388333,0.049975
15.4,0.024776
15.411667,-0.027739
15.423333,0.023937
15.434999,-0.0159
15.446667,0.006299
15.458333,0.016254
15.47,0.006535
15.481667,-0.005332
15.493333,0.004364
15.505,0.001984
15.516666,-0.00835
15.528333,0.045275
15.54,0.013166
15.551666,-0.015788
15.563334,0.013296
15.575,-0.009828
15.586666,0.008199
15.598333,-0.018632
15.61,-0.006638
15.621667,0.0087
15.633333,-0.008535
15.645,0.005809
15.656667,-0.00432
15.668333,0.005556
15.679999,0.006216
15.691667,-0.00639
15.703333,0.006607
15.715,-0.000789
15.726666,-0.006411
15.738333,0.04787
15.75,0.016676
15.761666,-0.018577
15.773334,0.015647
15.785,-0.007791
15.796666,-0.001023
15.808333,0.02782
15.82,0.007291
15.831666,-0.008136
15.843333,0.007222
15.855,-0.00234
15.866667,-0.00229
15.878333,0.02715
15.889999,0.02285
15.901667,-0.023659
15.913333,0.017333
15.925,-0.008439
15.936666,-0.001869
15.948333,0.027573
15.96,0.015938
